Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Fanni Pittford,5/14/2000,816-70-1311,40016,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,23,0,0
Nevil Messom,2/18/1994,508-14-3721,95328,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,40,Canada,<=50K,29,0,0
Tyson Weyland,4/14/1952,550-36-0443,92277,Private,Some-college,10,Separated,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,71,0,0
Tadd Fernandes,5/14/1994,390-32-9379,57539,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,29,0,0
Jackquelin Kunzler,6/27/1960,570-75-1165,9384,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,>50K,63,4386,0
Boote Kem,9/25/1997,814-45-9177,73998,Local-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,55,United-States,<=50K,26,5455,0
Magda Sangar,5/25/1956,486-88-2230,13546,Private,11th,7,Never-married,Other-service,Own-child,White,Female,7,United-States,<=50K,67,0,0
Arel Coppeard,5/21/1996,723-09-3317,3690,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,27,5178,0
Rolph Heijne,8/28/1994,447-55-8928,46919,Private,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,40,South,<=50K,29,0,0
Chrissie Channing,5/22/1966,662-96-1128,28548,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,38,United-States,<=50K,57,0,0
Nita Stephens,6/10/2000,889-78-0657,55764,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,23,0,0
Neala Dewane,8/23/1993,873-39-1363,20807,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,42,United-States,<=50K,30,0,0
Guido Ruit,7/28/2000,287-30-8045,51025,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,23,0,0
Kelcey Kellaway,2/12/1980,643-75-8612,79297,Private,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Female,30,United-States,<=50K,43,0,0
Jacenta Ebbrell,5/28/1952,685-57-5330,62210,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,71,0,0
Aurore Stute,11/25/2002,743-17-6987,20613,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,21,0,0
Latisha Tenwick,3/6/1993,858-55-3232,64204,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,30,0,0
Maridel Dowda,9/20/1959,718-90-7023,10944,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,Cuba,<=50K,64,0,0
Mireille Critchard,9/8/1991,242-20-6823,82271,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,32,0,0
Liuka Geibel,5/24/1996,601-24-4325,77981,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,38,United-States,<=50K,27,0,0
Fonzie Slay,1/29/1985,609-72-1919,87116,Self-emp-inc,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,38,0,0
Leslie Dries,3/21/1971,616-46-3336,58574,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K,52,15024,0
Iseabal Chrippes,10/12/1964,518-45-9914,91326,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,15,United-States,<=50K,59,0,0
Corie Uttermare,4/23/1981,567-17-2466,23279,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,42,0,0
Quincy Leacy,2/13/1964,645-36-8290,53748,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,59,0,0
Samara Boyle,5/16/2009,514-83-5324,51996,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,32,United-States,>50K,14,0,0
Evvy Kennan,4/4/1982,880-02-6178,61805,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,41,0,0
Othilia Thornham,9/12/1960,419-23-2536,67942,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K,63,0,0
Roby Tolefree,9/21/1997,870-81-9703,78275,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,26,0,0
Eustace Deny,12/9/1981,236-24-2958,25319,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,24,United-States,<=50K,42,0,0
Fawnia Money,9/15/2005,371-50-1723,38975,Self-emp-not-inc,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,15,United-States,<=50K,18,0,0
Darrelle Pellew,1/1/2001,220-69-4531,35931,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,22,0,0
Cal Uman,8/1/1959,221-63-0558,76788,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,64,99999,0
Remy Campanelli,12/1/1981,812-09-3883,23748,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K,42,0,0
Reilly Maestro,1/29/1999,441-20-2377,63979,Private,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,24,0,0
Hans McIlvaney,3/19/2011,644-37-4902,90388,Federal-gov,11th,7,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K,12,0,0
Ianthe Tookill,9/6/1975,857-13-4545,58482,Federal-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,>50K,48,0,0
Anthia Tapply,6/2/2002,311-55-3756,51752,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,21,0,0
Jonah Dani,9/27/1973,451-71-7721,62404,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K,50,0,0
Minne Winteringham,3/19/1979,316-20-8615,5492,Private,11th,7,Separated,Craft-repair,Not-in-family,White,Male,45,Germany,<=50K,44,0,0
Emmet Jervis,10/30/1990,209-60-0186,90126,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,33,0,0
Bethanne Keetch,6/27/1970,778-71-5914,34908,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,53,0,0
Binni Mc Mechan,6/23/2009,119-26-4980,90245,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,14,0,0
Deeann Ryall,6/12/2007,381-11-6871,95465,,Bachelors,13,Widowed,,Unmarried,White,Female,50,United-States,>50K,16,27828,0
Nathaniel Mangam,4/13/2007,447-63-4251,35798,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,18,United-States,<=50K,16,0,0
Terry Kenealy,6/9/1960,440-97-9951,71982,Private,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Male,40,United-States,<=50K,63,0,0
Allene Franklen,12/18/1970,288-30-0495,81989,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,23,United-States,<=50K,53,0,0
Heddi Mingotti,9/27/1997,268-64-7316,6661,Private,Masters,14,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,40,China,<=50K,26,0,0
Cletus Tatford,6/27/1983,617-71-7959,40865,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,40,4865,0
Venita Gowling,3/12/1984,272-27-1963,87423,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K,39,0,0
Berri Shenton,10/29/2005,469-11-9386,22007,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,18,0,0
Dulcia Jaan,12/26/1965,483-28-2653,42759,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,45,United-States,>50K,58,0,0
Jobina Sange,6/23/2005,277-90-5964,67125,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,40,United-States,<=50K,18,0,0
Zahara Hassett,3/5/1968,571-50-9395,39591,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,55,0,0
Mikey McTurley,2/28/1992,428-39-5132,33651,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,42,United-States,<=50K,31,0,0
Loralee Hoggin,10/20/1950,540-60-9349,18709,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,17,United-States,<=50K,73,0,0
Therine Bryning,7/18/1995,281-84-4877,58250,State-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,28,0,0
Truman McJerrow,10/30/1958,295-99-3880,48180,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K,65,0,0
Nedi Lyfe,8/26/2004,632-95-6316,25029,,Bachelors,13,Married-civ-spouse,,Husband,White,Male,10,United-States,<=50K,19,0,0
Bryn Skarr,2/21/1977,226-37-0627,10157,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,46,0,0
Arlan Rawsthorn,12/3/1991,301-59-8681,59906,Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,40,United-States,<=50K,32,0,0
Mortie Momery,8/7/1988,188-42-6160,54232,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,35,0,0
Brig Bye,4/24/1976,564-54-1789,93176,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,47,0,0
Estella Chatwin,2/12/1971,634-93-6436,55420,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,52,0,0
Auberon Pickavance,4/4/1994,426-77-0819,20837,Private,Assoc-voc,11,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,<=50K,29,0,0
Adler Ovendale,2/9/1996,356-16-9970,79257,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,>50K,27,0,0
Blythe Crass,1/10/1998,423-85-8709,55511,Private,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,40,United-States,<=50K,25,0,0
Zolly Sudran,6/13/1975,340-01-4579,16260,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,48,0,0
Davis Tulip,9/7/1953,578-77-8705,91512,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,,>50K,70,0,0
Puff Janzen,6/25/1976,246-09-2685,22455,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,40,United-States,<=50K,47,0,0
Vittorio Crudginton,1/25/1951,103-20-2980,95469,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,,>50K,72,0,0
Mei Kenchington,8/22/1962,124-24-0460,77004,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Female,20,United-States,<=50K,61,0,0
Clyve Pepperell,9/20/1976,116-21-2672,21751,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,47,0,0
Natal Folkerts,11/30/1972,244-92-5537,17504,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Sales,Other-relative,White,Male,40,United-States,<=50K,51,0,0
Natty Cuberley,8/24/1988,134-62-4764,34024,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,35,0,0
Karlene Tacey,9/4/1955,740-36-6854,75159,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,United-States,<=50K,68,0,0
Margeaux Hansberry,4/22/1960,531-22-8156,94755,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,63,0,0
Lynea Harburtson,9/6/1983,297-51-1509,26601,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,45,United-States,<=50K,40,0,0
Kathlin Riggoll,2/27/1992,839-97-0828,56732,,HS-grad,9,Widowed,,Own-child,White,Female,40,United-States,<=50K,31,0,0
Desmond oldey,6/15/1982,590-40-6727,68803,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,41,0,0
Mauricio Seckington,8/29/1978,410-55-2819,78077,,Bachelors,13,Never-married,,Not-in-family,White,Female,50,United-States,<=50K,45,0,0
Denver Grealish,4/3/2004,839-03-0558,51984,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,>50K,19,0,0
Lorene Leppard,6/21/1990,386-41-7426,7107,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,20,United-States,<=50K,33,0,0
Chad Tebbett,8/10/2001,682-57-3415,61692,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,48,United-States,<=50K,22,0,0
Agace Castiblanco,10/2/1990,104-36-6420,946,,Assoc-acdm,12,Married-civ-spouse,,Husband,White,Male,4,United-States,<=50K,33,0,0
Tally Baldwin,9/18/1990,163-68-9653,39054,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,33,0,0
Hew Ducroe,5/21/1990,653-08-8164,46757,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,33,0,0
Lou Elias,1/4/2004,349-48-2766,12080,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,19,0,0
Casey Maypother,7/7/2002,768-07-0623,1436,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,<=50K,21,0,0
Aleen Deighton,1/10/1992,331-49-7041,38274,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,31,0,0
Emmery Atherton,9/8/2005,827-35-9942,19874,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,,>50K,18,0,0
Chucho Pitcaithley,1/28/1958,261-85-9546,92793,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,Puerto-Rico,<=50K,65,0,0
Gradeigh Indgs,3/16/2007,170-95-8729,16229,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,16,0,0
Bent Cohr,6/23/1976,536-58-8147,68542,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,47,0,0
Robers Elsegood,7/19/1993,763-45-9159,25866,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30,0,0
Ethelda Bavage,5/20/2003,813-03-2783,27471,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,20,0,0
Galvin Krysiak,7/1/1993,494-54-2760,71088,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,35,United-States,<=50K,30,0,0
Maurizio Splevings,4/17/1980,898-34-5861,903,Local-gov,Masters,14,Never-married,Tech-support,Not-in-family,Black,Female,47,United-States,>50K,43,8614,0
Petronella Hindes,4/23/1972,376-53-2077,14215,Private,10th,6,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,51,0,0
Adorne Reyburn,7/29/1970,673-64-4269,81199,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,53,20051,0
Lorant Blackley,1/24/1951,399-49-7262,56463,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,72,0,0
Roanne Mocher,8/27/2003,418-85-5566,30537,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,20,0,0
Annie Meehan,3/9/1963,113-43-8463,12393,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,37,United-States,<=50K,60,0,0
Briano Sprake,1/31/1953,254-54-4142,22741,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,55,United-States,<=50K,70,0,0
Alaster Aleveque,1/24/1959,545-69-9710,91810,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,64,3325,0
Lina Harnes,4/5/1984,421-16-2588,65973,,HS-grad,9,Widowed,,Own-child,White,Male,40,United-States,<=50K,39,0,0
Beverlie Barthelmes,4/3/1986,472-39-6396,65727,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,70,United-States,<=50K,37,0,0
Darcey Elias,4/20/1992,133-75-4627,99910,Private,HS-grad,9,Separated,Other-service,Other-relative,White,Male,35,United-States,<=50K,31,0,0
Ber Brandt,9/10/1983,822-80-2270,7749,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,40,0,0
Rossy Garriock,2/27/1961,189-91-1681,93499,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,62,0,0
Seka Pietruszka,10/5/1953,319-15-9622,36587,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,42,United-States,<=50K,70,0,0
Flemming Plomer,8/30/1963,773-46-8280,29588,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,46,United-States,<=50K,60,0,0
Koo Penbarthy,2/7/1991,237-74-5593,72003,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,32,0,0
Ina Spiby,3/23/1979,216-18-4952,27939,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,44,7298,0
Dermot Winfred,2/6/1988,127-54-8694,14388,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,35,0,0
Tawnya Davydoch,1/6/1967,806-96-3523,63132,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,56,0,0
Joellen Dulin,1/27/2007,841-45-2858,60028,State-gov,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,Black,Male,39,United-States,<=50K,16,0,0
Pooh Pettwood,7/20/1978,486-81-0982,81282,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,,<=50K,45,0,0
Zacharie McCafferky,8/21/1981,808-16-7744,86510,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,45,United-States,<=50K,42,0,0
Farrah Goudy,11/12/1966,736-71-6015,99626,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,57,0,0
Vanna Bark,6/8/1977,131-73-0597,88028,,Some-college,10,Divorced,,Unmarried,White,Female,8,United-States,<=50K,46,0,0
Redd Studdal,4/29/1958,834-29-2802,6016,Private,Assoc-acdm,12,Widowed,Prof-specialty,Unmarried,White,Female,27,United-States,<=50K,65,0,0
Gabrielle Bowering,10/25/1966,350-37-4078,36257,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,15,United-States,<=50K,57,0,0
Lucy Walkey,10/16/1988,392-22-1705,19828,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,35,0,0
Worthington Jacobssen,12/11/2009,496-67-1266,18746,,HS-grad,9,Married-civ-spouse,,Wife,White,Female,40,United-States,>50K,14,0,0
Rivy MacBain,10/27/1966,201-58-1092,92002,Private,Assoc-voc,11,Never-married,Sales,Other-relative,Black,Male,65,United-States,<=50K,57,0,0
Bennie Baumber,5/6/2000,250-96-0714,36545,Private,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,23,0,0
Thekla Lynnitt,1/4/1957,624-03-2781,15007,Private,Some-college,10,Married-civ-spouse,Protective-serv,Other-relative,Black,Female,25,Haiti,<=50K,66,0,0
Percival Antrum,9/8/1967,661-60-3824,52067,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,8,United-States,<=50K,56,0,0
Lindsey MacShirie,10/18/1978,473-07-6223,88029,Private,Assoc-voc,11,Married-spouse-absent,Sales,Unmarried,Black,Female,32,United-States,<=50K,45,0,0
Celinda Dysert,8/6/1979,672-77-9767,76543,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,44,0,0
Katherina Piet,7/31/1991,317-50-6359,73158,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,32,0,0
Leonora Denny,2/16/1952,839-31-5421,9348,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,71,0,0
Fairleigh Parlett,6/27/1957,773-80-9322,61029,Private,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,40,United-States,<=50K,66,0,0
Virgil Huelin,2/4/1978,586-13-5216,55592,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,45,0,0
Octavia Budd,1/2/2008,804-99-3057,61313,State-gov,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,>50K,15,0,0
Estrella Feaster,1/11/1960,624-01-1707,95443,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,63,7688,0
Adina Blacket,3/15/1953,313-01-5408,91928,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,35,United-States,<=50K,70,0,0
Cherye Flood,2/21/2006,349-74-5578,13118,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,17,15024,0
Clarice Grayston,4/1/1998,293-16-7802,17058,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,25,0,0
Rodie Gregon,6/6/1964,620-42-9260,49668,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,<=50K,59,0,0
Kylila Heavy,1/17/1954,151-23-2144,94304,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,44,United-States,<=50K,69,0,0
Aurora Aked,4/28/2000,474-20-8414,6616,Private,7th-8th,4,Separated,Other-service,Own-child,White,Male,60,Mexico,<=50K,23,0,0
Nona Emblow,2/9/1967,153-53-5825,66615,Private,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,56,0,0
Thomasa Croot,10/3/1960,663-76-4706,20935,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,63,0,0
Matty Kippen,4/10/1976,201-90-6604,7705,Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K,47,0,0
Cicely Wringe,2/9/1974,251-83-1951,72054,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K,49,0,0
Wake Fechnie,12/22/1975,654-60-2943,81199,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,48,2829,0
Tootsie Heisham,9/23/1957,230-97-0283,93548,Private,12th,8,Never-married,Other-service,Not-in-family,White,Female,25,United-States,<=50K,66,0,0
Monty Clitherow,5/31/1952,480-57-0928,1529,Local-gov,HS-grad,9,Married-spouse-absent,Farming-fishing,Own-child,Black,Male,40,United-States,<=50K,71,0,0
Scott Malin,5/12/1958,219-88-2457,29224,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,>50K,65,0,0
Gates Quadrio,6/14/2006,757-04-6262,7737,State-gov,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,39,United-States,<=50K,17,0,0
Hanan Skotcher,1/28/1963,841-02-6689,67298,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,60,0,1887
Shir Solesbury,7/17/1979,459-14-7817,40078,Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,44,0,0
Ollie Melluish,8/12/1982,262-47-9646,5160,Self-emp-inc,HS-grad,9,Never-married,Sales,Other-relative,White,Male,40,,<=50K,41,0,0
Ulric Berka,12/9/1960,741-54-9952,32241,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,63,4064,0
Rosalyn Darycott,1/2/2007,579-42-4145,30015,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K,16,0,0
Arvin Diwell,9/29/1992,276-14-3784,30469,Private,11th,7,Separated,Farming-fishing,Other-relative,White,Male,40,Puerto-Rico,<=50K,31,0,0
Elisha Camsey,11/9/2003,867-70-9439,2508,Local-gov,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,20,0,0
Jerrilee Bernier,7/4/2000,204-77-6116,28716,State-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K,23,0,0
